尿素套利｜近两年交易明细（Word完整提取）,,,,,,,,,,,,,
序号,交易所,合约,手数,开仓日期,平仓日期,方向,开仓价,平仓价,平仓盈亏,持仓天数,结果,平仓月份,Word行号
33,郑商所,UR405,1,2024-02-28,2024-03-05,多头,2120,2202,1640,6,盈利,2024-03,66
34,郑商所,UR409,1,2024-02-28,2024-03-05,空头,1991,2072,-1620,6,亏损,2024-03,68
35,郑商所,UR405,1,2024-03-06,2024-03-06,多头,2186,2203,340,0,盈利,2024-03,70
36,郑商所,UR409,1,2024-03-06,2024-03-06,空头,2062,2074,-240,0,亏损,2024-03,72
37,郑商所,UR405,1,2024-03-06,2024-04-01,多头,2186,1955,-4620,26,亏损,2024-04,74
38,郑商所,UR409,1,2024-03-06,2024-04-01,空头,2062,1831,4620,26,盈利,2024-04,76
39,郑商所,UR405,1,2024-03-06,2024-04-09,多头,2185,1977,-4160,34,亏损,2024-04,78
40,郑商所,UR405,1,2024-03-06,2024-04-09,多头,2185,1992,-3860,34,亏损,2024-04,80
41,郑商所,UR409,1,2024-03-06,2024-04-09,空头,2061,1853,4160,34,盈利,2024-04,82
42,郑商所,UR409,1,2024-03-06,2024-04-09,空头,2061,1868,3860,34,盈利,2024-04,84
43,郑商所,UR409,1,2024-06-24,2024-06-25,多头,2071,2096,500,1,盈利,2024-06,86
44,郑商所,UR501,1,2024-06-24,2024-06-25,空头,2009,2026,-340,1,亏损,2024-06,88
45,郑商所,UR409,1,2024-07-01,2024-07-12,空头,2083,2049,680,11,盈利,2024-07,90
46,郑商所,UR501,1,2024-07-01,2024-07-12,多头,2018,1989,-580,11,亏损,2024-07,92
47,郑商所,UR409,1,2024-06-24,2024-07-23,多头,2072,2006,-1320,29,亏损,2024-07,94
48,郑商所,UR501,1,2024-06-24,2024-07-23,空头,2010,1948,1240,29,盈利,2024-07,96
49,大商所,jd2410,1,2024-08-07,2024-08-08,空头,3688,3724,-360,1,亏损,2024-08,98
50,大商所,jd2412,1,2024-08-07,2024-08-08,多头,3862,3833,-290,1,亏损,2024-08,100
51,大商所,jd2410,1,2024-08-07,2024-08-12,空头,3704,3607,970,5,盈利,2024-08,102
52,大商所,jd2412,1,2024-08-07,2024-08-12,多头,3846,3795,-510,5,亏损,2024-08,104
53,郑商所,UR410,1,2024-08-14,2024-08-14,空头,1996,1977,380,0,盈利,2024-08,106
54,郑商所,UR501,1,2024-08-14,2024-08-14,多头,1932,1908,-480,0,亏损,2024-08,108
55,郑商所,UR410,1,2024-08-14,2024-08-15,空头,1996,1987,180,1,盈利,2024-08,110
56,郑商所,UR410,2,2024-08-14,2024-08-15,空头,1993,1988,200,1,盈利,2024-08,112
57,郑商所,UR410,1,2024-08-14,2024-08-15,空头,1974,1988,-280,1,亏损,2024-08,114
58,郑商所,UR501,1,2024-08-14,2024-08-15,多头,1932,1912,-400,1,亏损,2024-08,116
59,郑商所,UR501,2,2024-08-14,2024-08-15,多头,1934,1912,-880,1,亏损,2024-08,118
60,郑商所,UR501,1,2024-08-14,2024-08-15,多头,1903,1912,180,1,盈利,2024-08,120
61,郑商所,UR501,1,2024-09-02,2024-09-18,多头,1855,1759,-1920,16,亏损,2024-09,122
62,郑商所,UR505,1,2024-09-02,2024-09-18,空头,1824,1746,1560,16,盈利,2024-09,124
63,郑商所,UR505,2,2024-09-02,2024-09-25,空头,1824,1804,800,23,盈利,2024-09,126
64,郑商所,UR505,2,2024-09-04,2024-09-25,空头,1810,1804,240,21,盈利,2024-09,128
65,郑商所,UR410,1,2024-09-02,2024-09-26,多头,1896,1781,-2300,24,亏损,2024-09,130
66,郑商所,UR501,1,2024-09-02,2024-09-30,多头,1855,1889,680,28,盈利,2024-09,132
67,郑商所,UR501,1,2024-09-02,2024-10-08,多头,1855,1920,1300,36,盈利,2024-10,134
68,郑商所,UR501,1,2024-09-04,2024-10-08,多头,1832,1911,1580,34,盈利,2024-10,136
69,郑商所,UR501,1,2024-09-04,2024-10-08,多头,1832,1907,1500,34,盈利,2024-10,138
70,郑商所,UR505,1,2024-10-11,2024-10-14,多头,1853,1843,-200,3,亏损,2024-10,140
71,郑商所,UR505,3,2024-10-11,2024-10-14,多头,1854,1843,-660,3,亏损,2024-10,142
72,郑商所,UR509,1,2024-10-11,2024-10-14,空头,1863,1868,-100,3,亏损,2024-10,144
73,郑商所,UR509,3,2024-10-11,2024-10-14,空头,1864,1868,-240,3,亏损,2024-10,146
74,郑商所,UR505,1,2024-11-18,2024-11-20,多头,1858,1882,480,2,盈利,2024-11,148
75,郑商所,UR509,1,2024-11-18,2024-11-20,空头,1877,1887,-200,2,亏损,2024-11,150
76,郑商所,UR505,1,2024-12-04,2024-12-05,多头,1840,1848,160,1,盈利,2024-12,152
77,郑商所,UR509,1,2024-12-04,2024-12-05,空头,1858,1864,-120,1,亏损,2024-12,154
78,郑商所,UR505,1,2024-12-04,2024-12-09,多头,1837,1794,-860,5,亏损,2024-12,156
79,郑商所,UR505,1,2024-12-09,2024-12-09,多头,1795,1794,-20,0,亏损,2024-12,158
80,郑商所,UR509,1,2024-12-09,2024-12-09,空头,1817,1814,60,0,盈利,2024-12,160
81,郑商所,UR509,1,2024-12-09,2024-12-09,空头,1817,1814,60,0,盈利,2024-12,162
82,郑商所,UR505,1,2024-12-09,2024-12-11,多头,1795,1813,360,2,盈利,2024-12,164
83,郑商所,UR505,1,2024-12-09,2024-12-11,多头,1795,1812,340,2,盈利,2024-12,166
84,郑商所,UR509,1,2024-12-09,2024-12-11,空头,1817,1828,-220,2,亏损,2024-12,168
85,郑商所,UR509,1,2024-12-09,2024-12-11,空头,1816,1827,-220,2,亏损,2024-12,170
86,郑商所,UR505,1,2024-12-09,2024-12-19,多头,1794,1742,-1040,10,亏损,2024-12,172
87,郑商所,UR509,1,2024-12-11,2024-12-19,空头,1830,1733,1940,8,盈利,2024-12,174
88,郑商所,UR505,1,2024-12-11,2025-02-17,多头,1815,1842,540,68,盈利,2025-02,176
89,郑商所,UR505,1,2024-12-13,2025-02-17,多头,1756,1842,1720,66,盈利,2025-02,178
90,郑商所,UR505,1,2024-12-27,2025-02-21,多头,1714,1805,1820,56,盈利,2025-02,180
91,郑商所,UR509,1,2024-12-27,2025-02-21,空头,1727,1856,-2580,56,亏损,2025-02,182
92,郑商所,UR505,1,2024-12-31,2025-02-21,多头,1699,1805,2120,52,盈利,2025-02,184
93,郑商所,UR509,1,2024-12-31,2025-02-21,空头,1726,1856,-2600,52,亏损,2025-02,186
94,郑商所,UR505,1,2025-02-19,2025-02-25,多头,1785,1827,840,6,盈利,2025-02,188
95,郑商所,UR509,1,2025-02-19,2025-02-25,空头,1851,1873,-440,6,亏损,2025-02,190
96,郑商所,UR505,1,2025-02-28,2025-03-03,多头,1808,1801,-140,3,亏损,2025-03,192
97,郑商所,UR509,1,2025-02-28,2025-03-03,空头,1861,1854,140,3,盈利,2025-03,194
98,郑商所,UR505,1,2025-03-04,2025-03-05,多头,1778,1744,-680,1,亏损,2025-03,196
99,郑商所,UR509,1,2025-03-04,2025-03-05,空头,1843,1805,760,1,盈利,2025-03,198
100,郑商所,UR509,1,2025-04-02,2025-04-03,空头,1847,1852,-100,1,亏损,2025-04,200
101,郑商所,UR601,1,2025-04-02,2025-04-03,多头,1836,1848,240,1,盈利,2025-04,202
102,郑商所,UR509,1,2025-04-07,2025-04-15,空头,1824,1784,800,8,盈利,2025-04,204
103,郑商所,UR601,1,2025-04-07,2025-04-15,多头,1824,1757,-1340,8,亏损,2025-04,206
104,郑商所,UR509,1,2025-04-08,2025-04-15,空头,1776,1784,-160,7,亏损,2025-04,208
105,郑商所,UR601,1,2025-04-08,2025-04-15,多头,1767,1757,-200,7,亏损,2025-04,210
106,郑商所,UR509,1,2025-04-15,2025-05-23,空头,1786,1842,-1120,38,亏损,2025-05,212
107,郑商所,UR601,1,2025-04-15,2025-05-23,多头,1761,1761,0,38,持平,2025-05,214
108,郑商所,UR509,1,2025-06-10,2025-06-24,多头,1679,1700,420,14,盈利,2025-06,216
109,郑商所,UR601,1,2025-06-10,2025-06-24,空头,1646,1668,-440,14,亏损,2025-06,218
110,郑商所,UR509,1,2025-06-23,2025-06-24,多头,1706,1700,-120,1,亏损,2025-06,220
111,郑商所,UR601,1,2025-06-23,2025-06-24,空头,1679,1668,220,1,盈利,2025-06,222
112,郑商所,UR509,1,2025-06-23,2025-06-25,多头,1704,1734,600,2,盈利,2025-06,224
113,郑商所,UR601,1,2025-06-23,2025-06-25,空头,1678,1689,-220,2,亏损,2025-06,226
114,郑商所,UR509,1,2025-06-26,2025-06-27,多头,1710,1732,440,1,盈利,2025-06,228
115,郑商所,UR601,1,2025-06-26,2025-06-27,空头,1677,1688,-220,1,亏损,2025-06,230
116,郑商所,UR509,1,2025-07-21,2025-08-15,多头,1808,1719,-1780,25,亏损,2025-08,232
117,郑商所,UR601,1,2025-07-21,2025-08-15,空头,1775,1738,740,25,盈利,2025-08,234
118,郑商所,UR509,1,2025-07-22,2025-08-18,多头,1794,1735,-1180,27,亏损,2025-08,236
119,郑商所,UR601,1,2025-07-22,2025-08-18,空头,1771,1765,120,27,盈利,2025-08,238
120,郑商所,UR509,1,2025-07-24,2025-08-18,多头,1775,1735,-800,25,亏损,2025-08,240
121,郑商所,UR601,1,2025-07-24,2025-08-18,空头,1780,1765,300,25,盈利,2025-08,242
122,郑商所,UR509,1,2025-07-28,2025-08-18,多头,1747,1735,-240,21,亏损,2025-08,244
123,郑商所,UR601,1,2025-07-28,2025-08-18,空头,1767,1765,40,21,盈利,2025-08,246
124,郑商所,UR509,1,2025-08-11,2025-08-18,多头,1710,1735,500,7,盈利,2025-08,248
125,郑商所,UR509,1,2025-08-11,2025-08-18,多头,1710,1735,500,7,盈利,2025-08,250
126,郑商所,UR601,1,2025-08-11,2025-08-18,空头,1742,1765,-460,7,亏损,2025-08,252
127,郑商所,UR601,1,2025-08-11,2025-08-18,空头,1742,1765,-460,7,亏损,2025-08,254
128,郑商所,UR605,1,2025-12-30,2026-01-08,空头,1750,1786,-720,9,亏损,2026-01,256
129,郑商所,UR609,1,2025-12-30,2026-01-08,多头,1711,1765,1080,9,盈利,2026-01,258
130,郑商所,UR605,1,2026-03-16,2026-03-16,多头,1906,1904,-40,0,亏损,2026-03,260
131,郑商所,UR609,1,2026-03-16,2026-03-16,空头,1943,1943,0,0,持平,2026-03,262
132,郑商所,UR605,1,2026-03-19,2026-03-24,多头,1856,1878,440,5,盈利,2026-03,264
133,郑商所,UR609,1,2026-03-19,2026-03-24,空头,1904,1945,-820,5,亏损,2026-03,266
134,郑商所,UR609,1,2026-06-01,2026-06-02,多头,1827,1818,-180,1,亏损,2026-06,268
135,郑商所,UR701,1,2026-06-01,2026-06-02,空头,1836,1831,100,1,盈利,2026-06,270
136,郑商所,UR609,1,2026-06-04,2026-06-08,多头,1773,1833,1200,4,盈利,2026-06,272
137,郑商所,UR701,1,2026-06-04,2026-06-08,空头,1784,1831,-940,4,亏损,2026-06,274
138,郑商所,UR609,1,2026-07-10,2026-07-10,空头,1715,1715,0,0,持平,2026-07,276
139,郑商所,UR609,1,2026-07-16,2026-07-20,多头,1702,1717,300,4,盈利,2026-07,278
140,郑商所,UR609,1,2026-07-16,2026-07-20,多头,1694,1717,460,4,盈利,2026-07,280
141,郑商所,UR701,1,2026-07-16,2026-07-20,空头,1713,1729,-320,4,亏损,2026-07,282
142,郑商所,UR701,1,2026-07-16,2026-07-20,空头,1714,1729,-300,4,亏损,2026-07,284
143,郑商所,UR701,1,2026-08-04,2026-08-04,多头,1714,1719,100,0,盈利,2026-08,286
144,郑商所,UR705,1,2026-08-04,2026-08-04,空头,1766,1760,120,0,盈利,2026-08,288
